Waktu,Harga (IDR)
2026-04-24 12:01:17,6075.0
2026-04-24 12:02:17,6075.0
2026-04-24 12:03:17,6075.0
2026-04-24 13:56:56,6075.0
2026-04-24 13:57:56,6075.0
2026-04-24 13:58:57,6075.0
2026-04-24 13:59:57,6075.0
2026-04-24 14:00:57,6075.0
