Waktu,Harga
2026-04-24 11:44:57,66.78
2026-04-24 11:46:00,66.78
2026-04-24 11:47:02,7135.75
2026-04-24 11:48:04,7135.75
2026-04-24 11:49:06,66.78
2026-04-24 11:50:08,66.78
2026-04-24 11:51:10,7135.75
2026-04-24 11:54:03,43.63
2026-04-24 11:55:03,43.63
2026-04-24 11:56:04,43.63
2026-04-24 11:57:04,43.63
2026-04-24 11:58:04,43.63
2026-04-24 11:59:05,43.63
2026-04-24 12:00:06,43.63
2026-04-24 19:43:10,43.63
2026-04-24 19:44:10,43.63
